instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n012_f04_tight_s2,12,4,tight,2,ip,lp_optimal,6,24,209,48,161,0,1,0.0000,1,0.229900,0.003300,0.143300,1249.021520,1395.946072,3
lrsp_n012_f04_tight_s3,12,4,tight,3,ip,lp_optimal,6,24,199,48,151,0,1,0.0000,1,0.106400,0.003300,0.070500,1792.999674,1852.543772,3
lrsp_n013_f04_easy_s1,13,4,easy,1,ip,lp_optimal,13,52,613,52,559,2,3,3.0000,1,536.206200,0.008300,536.107600,1022.457651,1066.916488,2
lrsp_n013_f04_moderate_s1,13,4,moderate,1,ip,lp_optimal,9,36,483,52,431,0,1,0.0000,1,6.628500,0.005600,5.032100,1133.993097,1428.677079,2
lrsp_n013_f04_moderate_s2,13,4,moderate,2,ip,lp_optimal,10,40,443,52,391,0,1,0.0000,1,30.430200,0.007000,28.739100,903.781308,1134.436445,3
lrsp_n013_f04_moderate_s3,13,4,moderate,3,ip,lp_optimal,11,44,496,52,444,0,1,0.0000,1,10.283500,0.006600,9.330500,1422.867004,1739.735130,2
lrsp_n013_f04_tight_s1,13,4,tight,1,ip,lp_optimal,6,24,272,50,222,0,1,0.0000,1,0.356700,0.003600,0.153400,1655.156746,1752.714932,3
lrsp_n013_f04_tight_s2,13,4,tight,2,ip,lp_optimal,6,24,247,51,196,0,1,0.0000,1,0.251100,0.003400,0.230900,1249.472041,1275.412208,3
lrsp_n013_f04_tight_s3,13,4,tight,3,ip,lp_optimal,6,24,218,50,168,0,1,0.0000,1,0.260000,0.003000,0.080000,2003.826724,2125.101026,3
lrsp_n014_f04_moderate_s1,14,4,moderate,1,ip,lp_optimal,11,44,501,56,445,0,1,0.0000,1,9.564000,0.007400,9.535700,1262.547736,1273.325885,2
lrsp_n014_f04_moderate_s2,14,4,moderate,2,ip,lp_optimal,12,48,567,56,511,0,1,0.0000,1,122.153000,0.007800,122.108400,1579.413018,1613.609090,3
lrsp_n014_f04_moderate_s3,14,4,moderate,3,ip,lp_optimal,10,40,476,56,420,0,1,0.0000,1,16.285800,0.007300,16.258100,1197.476360,1213.928254,2
lrsp_n014_f04_tight_s1,14,4,tight,1,ip,lp_optimal,7,28,258,56,202,0,1,0.0000,1,0.337200,0.003400,0.300600,1783.636416,1836.886150,3
lrsp_n014_f04_tight_s2,14,4,tight,2,ip,lp_optimal,8,32,367,56,311,0,1,0.0000,1,1.415800,0.005100,1.361800,1765.226410,1834.433381,3
lrsp_n014_f04_tight_s3,14,4,tight,3,ip,lp_optimal,6,24,287,56,231,0,1,0.0000,1,0.534000,0.003700,0.213300,1606.931800,1702.311078,3
lrsp_n015_f05_moderate_s1,15,5,moderate,1,ip,lp_optimal,9,45,497,75,422,0,1,0.0000,1,10.786100,0.005000,10.763600,1512.285319,1527.999118,3
lrsp_n015_f05_moderate_s2,15,5,moderate,2,ip,lp_optimal,10,50,597,75,522,0,1,0.0000,1,187.855600,0.007500,187.543200,1213.397366,1277.690108,3
lrsp_n015_f05_moderate_s3,15,5,moderate,3,ip,lp_optimal,9,45,550,75,475,0,1,0.0000,1,14.643300,0.008000,14.468300,1404.397511,1459.490517,3
lrsp_n015_f05_tight_s1,15,5,tight,1,ip,lp_optimal,7,35,309,68,241,0,1,0.0000,1,0.133800,0.003600,0.109100,2019.543160,2068.470420,4
lrsp_n015_f05_tight_s2,15,5,tight,2,ip,lp_optimal,7,35,333,75,258,0,1,0.0000,1,1.243300,0.004500,1.051500,1579.341737,1644.692080,4
lrsp_n015_f05_tight_s3,15,5,tight,3,ip,lp_optimal,5,25,248,74,174,0,1,0.0000,1,0.149600,0.003100,0.143400,1778.325617,1778.325617,4
lrsp_n016_f05_moderate_s1,16,5,moderate,1,ip,lp_optimal,9,45,485,80,405,0,1,0.0000,1,33.511800,0.005900,33.475800,1845.830839,1881.043450,3
lrsp_n016_f05_moderate_s2,16,5,moderate,2,ip,lp_optimal,11,55,712,80,632,0,1,0.0000,1,225.040200,0.010800,224.785400,1407.709096,1511.280614,3
lrsp_n016_f05_moderate_s3,16,5,moderate,3,ip,lp_optimal,10,50,497,80,417,0,1,0.0000,1,20.575300,0.007100,20.294800,1250.722646,1322.325585,3
lrsp_n016_f05_tight_s1,16,5,tight,1,ip,lp_optimal,9,45,474,80,394,0,1,0.0000,1,1.705100,0.005200,1.456000,2446.377086,2548.336117,4
lrsp_n016_f05_tight_s2,16,5,tight,2,ip,lp_optimal,7,35,345,71,274,0,1,0.0000,1,0.487600,0.004500,0.292600,1859.655665,1972.181610,4
lrsp_n016_f05_tight_s3,16,5,tight,3,ip,lp_optimal,6,30,278,71,207,0,1,0.0000,1,0.285700,0.003800,0.151000,1584.498424,1628.674172,4
lrsp_n017_f05_moderate_s1,17,5,moderate,1,ip,lp_optimal,8,40,500,85,415,0,1,0.0000,1,18.486400,0.007100,18.457700,1434.144632,1441.447486,3
lrsp_n017_f05_moderate_s2,17,5,moderate,2,ip,lp_optimal,11,55,630,85,545,0,1,0.0000,1,205.069600,0.010400,204.839400,1248.805087,1341.061843,3
lrsp_n017_f05_moderate_s3,17,5,moderate,3,ip,lp_optimal,10,50,550,85,465,0,1,0.0000,1,47.220000,0.006800,47.150000,1364.419845,1404.033696,3
lrsp_n017_f05_tight_s1,17,5,tight,1,ip,lp_optimal,6,30,306,68,238,0,1,0.0000,1,0.086000,0.004200,0.069300,1860.224440,1872.976524,4
lrsp_n017_f05_tight_s2,17,5,tight,2,ip,lp_optimal,7,35,333,74,259,0,1,0.0000,1,0.434900,0.005000,0.265200,1601.308408,1683.271611,4
lrsp_n017_f05_tight_s3,17,5,tight,3,ip,lp_optimal,7,35,355,82,273,0,1,0.0000,1,0.440200,0.004000,0.399000,1758.178676,1773.946003,4
lrsp_n018_f06_moderate_s1,18,6,moderate,1,ip,lp_optimal,9,54,598,105,493,0,1,0.0000,1,16.133000,0.010100,13.812700,1358.002022,1513.180477,3
lrsp_n018_f06_moderate_s2,18,6,moderate,2,ip,lp_optimal,10,60,713,108,605,0,1,0.0000,1,396.167000,0.007800,396.137100,1387.123742,1406.945447,4
lrsp_n018_f06_moderate_s3,18,6,moderate,3,ip,lp_optimal,10,60,647,101,546,0,1,0.0000,1,13.504300,0.011000,9.175800,1233.222670,1436.237433,4
lrsp_n018_f06_tight_s1,18,6,tight,1,ip,lp_optimal,7,42,328,81,247,0,1,0.0000,1,0.153800,0.003800,0.077400,1854.385528,1884.927114,5
lrsp_n018_f06_tight_s2,18,6,tight,2,ip,lp_optimal,8,48,508,104,404,0,1,0.0000,1,1.077500,0.005200,0.915700,1734.793421,1805.324684,5
lrsp_n018_f06_tight_s3,18,6,tight,3,ip,lp_optimal,7,42,306,73,233,0,1,0.0000,1,0.346300,0.004200,0.054600,1714.213093,1773.528921,5
lrsp_n019_f06_moderate_s1,19,6,moderate,1,ip,lp_optimal,14,84,1022,114,908,0,1,0.0000,1,236.836100,0.010600,236.763600,2128.486027,2176.034077,4
lrsp_n019_f06_moderate_s3,19,6,moderate,3,ip,lp_optimal,15,90,1160,114,1046,0,1,0.0000,1,608.751100,0.020500,607.306600,2104.878944,2404.485883,3
lrsp_n019_f06_tight_s1,19,6,tight,1,ip,lp_optimal,10,60,690,114,576,0,1,0.0000,1,3.499400,0.007600,3.131000,2765.772718,2824.728846,5
lrsp_n019_f06_tight_s2,19,6,tight,2,ip,lp_optimal,7,42,505,112,393,0,1,0.0000,1,1.452900,0.005700,1.381200,1718.403344,1783.668506,5
lrsp_n019_f06_tight_s3,19,6,tight,3,ip,lp_optimal,11,66,752,114,638,0,1,0.0000,1,5.067300,0.008200,4.656300,3162.608396,3232.251767,5
lrsp_n020_f06_moderate_s1,20,6,moderate,1,ip,lp_optimal,10,60,722,120,602,0,1,0.0000,1,43.399400,0.012900,37.675300,1405.879217,1640.275024,4
lrsp_n020_f06_moderate_s2,20,6,moderate,2,ip,lp_optimal,12,72,851,120,731,0,1,0.0000,1,310.707600,0.017400,307.142600,1171.258037,1380.071630,4
lrsp_n020_f06_moderate_s3,20,6,moderate,3,ip,lp_optimal,9,54,654,120,534,0,1,0.0000,1,125.513500,0.009000,125.442800,1595.980714,1607.696291,4
