instance,pricing,customers,facilities,regime,seed,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n012_f04_tight_s3,ip,12,4,tight,3,lp_optimal,6,24,199,48,151,0,1,0.0000,1,0.193400,0.005300,0.127700,1792.999674,1852.543772,3
lrsp_n012_f06_moderate_s1,ip,12,6,moderate,1,lp_optimal,9,54,533,71,462,0,1,0.0000,1,8.270900,0.012900,4.452800,1278.739004,1526.891281,4
lrsp_n012_f06_moderate_s2,ip,12,6,moderate,2,lp_optimal,8,48,535,72,463,0,1,0.0000,1,23.028800,0.010400,20.061400,1104.475332,1312.442498,3
lrsp_n012_f06_moderate_s3,ip,12,6,moderate,3,lp_optimal,7,42,498,72,426,0,1,0.0000,1,5.765200,0.009000,5.723500,1534.177417,1537.627849,4
lrsp_n012_f06_tight_s1,ip,12,6,tight,1,lp_optimal,6,36,223,57,166,0,1,0.0000,1,0.117000,0.006700,0.101000,1946.285445,1950.158652,5
lrsp_n012_f06_tight_s2,ip,12,6,tight,2,lp_optimal,5,30,300,72,228,0,1,0.0000,1,0.387400,0.006300,0.357700,1635.470580,1656.438687,5
lrsp_n012_f06_tight_s3,ip,12,6,tight,3,lp_optimal,7,42,269,70,199,0,1,0.0000,1,0.440800,0.007500,0.186200,1922.055346,2034.671031,5
lrsp_n015_f03_moderate_s1,ip,15,3,moderate,1,lp_optimal,12,36,368,45,323,0,1,0.0000,1,26.763700,0.012300,26.703700,1415.017847,1457.499594,2
lrsp_n015_f03_moderate_s3,ip,15,3,moderate,3,lp_optimal,11,33,391,45,346,0,1,0.0000,1,20.804500,0.013100,20.767600,1240.890051,1261.958489,2
lrsp_n015_f03_tight_s1,ip,15,3,tight,1,lp_optimal,7,21,252,43,209,0,1,0.0000,1,0.389900,0.007200,0.370800,1985.655617,2006.012399,3
lrsp_n015_f03_tight_s2,ip,15,3,tight,2,lp_optimal,7,21,292,45,247,0,1,0.0000,1,2.864900,0.009600,2.804700,1581.844295,1603.757541,3
lrsp_n015_f03_tight_s3,ip,15,3,tight,3,lp_optimal,5,15,191,45,146,0,1,0.0000,1,0.262400,0.006700,0.248900,1690.247732,1690.247732,3
lrsp_n015_f05_moderate_s1,ip,15,5,moderate,1,lp_optimal,9,45,497,75,422,0,1,0.0000,1,23.401100,0.011600,23.349200,1512.285319,1527.999118,3
lrsp_n015_f05_moderate_s3,ip,15,5,moderate,3,lp_optimal,9,45,550,75,475,0,1,0.0000,1,31.884100,0.016300,31.493400,1404.397511,1459.490517,3
lrsp_n015_f05_tight_s1,ip,15,5,tight,1,lp_optimal,7,35,309,68,241,0,1,0.0000,1,0.332800,0.010200,0.269300,2019.543160,2068.470420,4
lrsp_n015_f05_tight_s2,ip,15,5,tight,2,lp_optimal,7,35,333,75,258,0,1,0.0000,1,2.585100,0.009600,2.207900,1579.341737,1644.692080,4
lrsp_n015_f05_tight_s3,ip,15,5,tight,3,lp_optimal,5,25,248,74,174,0,1,0.0000,1,0.336200,0.006800,0.322200,1778.325617,1778.325617,4
lrsp_n015_f08_moderate_s1,ip,15,8,moderate,1,lp_optimal,9,72,668,116,552,0,1,0.0000,1,19.409300,0.016300,10.740900,1429.013922,1692.336779,5
lrsp_n015_f08_moderate_s3,ip,15,8,moderate,3,time_limit,7,56,756,120,636,0,1,0.0000,0,33.087100,0.013400,33.050400,1718.806786,1718.806786,5
lrsp_n015_f08_tight_s1,dp,15,8,tight,1,lp_optimal,5,40,289,84,205,0,1,0.0000,1,0.621900,0.008300,0.095300,2082.322664,2218.242533,6
lrsp_n015_f08_tight_s1,ip,15,8,tight,1,lp_optimal,5,40,289,84,205,0,1,0.0000,1,0.565900,0.010400,0.079200,2082.322664,2218.242533,6
lrsp_n015_f08_tight_s2,ip,15,8,tight,2,lp_optimal,6,48,454,117,337,0,1,0.0000,1,0.830400,0.007300,0.798400,1637.360542,1718.147055,6
lrsp_n015_f08_tight_s3,ip,15,8,tight,3,lp_optimal,6,48,405,114,291,0,1,0.0000,1,1.251400,0.008000,0.412300,2047.363807,2157.226490,6
lrsp_n020_f04_moderate_s1,ip,20,4,moderate,1,time_limit,8,32,499,80,419,0,1,0.0000,0,31.036000,0.013700,30.990100,1564.104137,1581.774979,3
lrsp_n020_f04_tight_s1,dp,20,4,tight,1,lp_optimal,8,32,254,53,201,0,1,0.0000,1,0.160100,0.007000,0.116100,1766.747779,1786.623399,3
lrsp_n020_f04_tight_s1,ip,20,4,tight,1,lp_optimal,8,32,254,53,201,0,1,0.0000,1,0.152800,0.006600,0.104400,1766.747779,1786.623399,3
lrsp_n020_f04_tight_s2,ip,20,4,tight,2,lp_optimal,8,32,377,74,303,0,1,0.0000,1,2.946100,0.011600,2.067900,1547.419150,1624.053431,3
lrsp_n020_f04_tight_s3,ip,20,4,tight,3,lp_optimal,9,36,314,78,236,0,1,0.0000,1,1.948000,0.010500,1.352300,1626.700378,1674.184780,3
lrsp_n020_f06_moderate_s1,ip,20,6,moderate,1,time_limit,3,18,408,120,288,0,1,0.0000,0,37.054200,0.010000,32.213500,1574.172545,1814.741555,4
lrsp_n020_f06_tight_s1,dp,20,6,tight,1,lp_optimal,7,42,366,85,281,0,1,0.0000,1,0.210400,0.007000,0.178600,1947.255890,1960.124286,5
lrsp_n020_f06_tight_s1,ip,20,6,tight,1,lp_optimal,7,42,366,85,281,0,1,0.0000,1,0.226500,0.008200,0.190000,1947.255890,1960.124286,5
lrsp_n020_f06_tight_s2,ip,20,6,tight,2,lp_optimal,7,42,432,102,330,0,1,0.0000,1,1.293000,0.013700,0.648700,1643.983886,1718.384488,5
lrsp_n020_f06_tight_s3,ip,20,6,tight,3,lp_optimal,6,36,413,108,305,0,1,0.0000,1,0.705600,0.010500,0.642700,1955.554225,1976.216933,5
lrsp_n020_f10_moderate_s1,ip,20,10,moderate,1,time_limit,4,40,776,190,586,0,1,0.0000,0,35.639300,0.018700,33.734000,1468.325596,1670.700025,6
lrsp_n020_f10_moderate_s3,ip,20,10,moderate,3,time_limit,6,60,854,178,676,0,1,0.0000,0,39.086200,0.029100,31.463600,1635.255875,1834.890527,6
lrsp_n020_f10_tight_s1,dp,20,10,tight,1,lp_optimal,5,50,427,139,288,0,1,0.0000,1,0.395600,0.009600,0.177400,2083.649709,2135.127254,8
lrsp_n020_f10_tight_s1,ip,20,10,tight,1,lp_optimal,5,50,427,139,288,0,1,0.0000,1,0.441000,0.011400,0.202900,2083.649709,2135.127254,8
lrsp_n020_f10_tight_s2,ip,20,10,tight,2,lp_optimal,7,70,568,161,407,0,1,0.0000,1,2.275100,0.012900,1.192600,1952.062000,2089.243983,8
lrsp_n020_f10_tight_s3,dp,20,10,tight,3,lp_optimal,7,70,472,120,352,0,1,0.0000,1,0.465200,0.010900,0.164900,2360.242870,2435.814492,8
lrsp_n020_f10_tight_s3,ip,20,10,tight,3,lp_optimal,7,70,472,120,352,0,1,0.0000,1,0.500200,0.012400,0.189600,2360.242870,2435.814492,8
lrsp_n025_f05_tight_s1,ip,25,5,tight,1,lp_optimal,9,45,483,118,365,0,1,0.0000,1,4.442400,0.015200,3.282300,1750.635873,1799.723450,4
lrsp_n025_f05_tight_s2,ip,25,5,tight,2,lp_optimal,10,50,637,125,512,0,1,0.0000,1,20.121500,0.015700,19.370600,1876.112553,1930.256218,4
lrsp_n025_f05_tight_s3,dp,25,5,tight,3,lp_optimal,8,40,410,75,335,0,1,0.0000,1,0.700000,0.012100,0.267400,1816.988844,1854.200512,4
