method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n017_f05_moderate_s2,17,5,,205.069600,204.839400,0.010400,11,630,1341.061843,lp_optimal,reached_optimality=1,moderate,2,1248.805087,0
ip,lrsp_n017_f05_moderate_s3,17,5,,47.220000,47.150000,0.006800,10,550,1404.033696,lp_optimal,reached_optimality=1,moderate,3,1364.419845,0
ip,lrsp_n017_f05_tight_s1,17,5,,0.086000,0.069300,0.004200,6,306,1872.976524,lp_optimal,reached_optimality=1,tight,1,1860.224440,0
ip,lrsp_n017_f05_tight_s2,17,5,,0.434900,0.265200,0.005000,7,333,1683.271611,lp_optimal,reached_optimality=1,tight,2,1601.308408,0
ip,lrsp_n017_f05_tight_s3,17,5,,0.440200,0.399000,0.004000,7,355,1773.946003,lp_optimal,reached_optimality=1,tight,3,1758.178676,0
ip,lrsp_n018_f06_moderate_s1,18,6,,16.133000,13.812700,0.010100,9,598,1513.180477,lp_optimal,reached_optimality=1,moderate,1,1358.002022,0
ip,lrsp_n018_f06_moderate_s2,18,6,,396.167000,396.137100,0.007800,10,713,1406.945447,lp_optimal,reached_optimality=1,moderate,2,1387.123742,0
ip,lrsp_n018_f06_moderate_s3,18,6,,13.504300,9.175800,0.011000,10,647,1436.237433,lp_optimal,reached_optimality=1,moderate,3,1233.222670,0
ip,lrsp_n018_f06_tight_s1,18,6,,0.153800,0.077400,0.003800,7,328,1884.927114,lp_optimal,reached_optimality=1,tight,1,1854.385528,0
ip,lrsp_n018_f06_tight_s2,18,6,,1.077500,0.915700,0.005200,8,508,1805.324684,lp_optimal,reached_optimality=1,tight,2,1734.793421,0
ip,lrsp_n018_f06_tight_s3,18,6,,0.346300,0.054600,0.004200,7,306,1773.528921,lp_optimal,reached_optimality=1,tight,3,1714.213093,0
ip,lrsp_n019_f06_moderate_s1,19,6,,236.836100,236.763600,0.010600,14,1022,2176.034077,lp_optimal,reached_optimality=1,moderate,1,2128.486027,0
ip,lrsp_n019_f06_moderate_s3,19,6,,608.751100,607.306600,0.020500,15,1160,2404.485883,lp_optimal,reached_optimality=1,moderate,3,2104.878944,0
ip,lrsp_n019_f06_tight_s1,19,6,,3.499400,3.131000,0.007600,10,690,2824.728846,lp_optimal,reached_optimality=1,tight,1,2765.772718,0
ip,lrsp_n019_f06_tight_s2,19,6,,1.452900,1.381200,0.005700,7,505,1783.668506,lp_optimal,reached_optimality=1,tight,2,1718.403344,0
ip,lrsp_n019_f06_tight_s3,19,6,,5.067300,4.656300,0.008200,11,752,3232.251767,lp_optimal,reached_optimality=1,tight,3,3162.608396,0
ip,lrsp_n020_f06_moderate_s1,20,6,,43.399400,37.675300,0.012900,10,722,1640.275024,lp_optimal,reached_optimality=1,moderate,1,1405.879217,0
ip,lrsp_n020_f06_moderate_s2,20,6,,310.707600,307.142600,0.017400,12,851,1380.071630,lp_optimal,reached_optimality=1,moderate,2,1171.258037,0
ip,lrsp_n020_f06_moderate_s3,20,6,,125.513500,125.442800,0.009000,9,654,1607.696291,lp_optimal,reached_optimality=1,moderate,3,1595.980714,0
ip,lrsp_n020_f06_tight_s1,20,6,,0.117100,0.098600,0.004000,7,366,1960.124286,lp_optimal,reached_optimality=1,tight,1,1947.255890,0
ip,lrsp_n020_f06_tight_s2,20,6,,0.652600,0.302000,0.005700,7,432,1718.384488,lp_optimal,reached_optimality=1,tight,2,1643.983886,0
ip,lrsp_n020_f06_tight_s3,20,6,,0.374200,0.340500,0.005000,6,413,1976.216933,lp_optimal,reached_optimality=1,tight,3,1955.554225,0
